Gene,logFC,AveExpr,P.Value,adj.P.Val,B
PRAME,3.764716996956607,12.17404272042289,1.44006314702643e-91,2.773417614858202e-87,90.84161846359653
OTX1,5.636378269608424,6.8119361349609555,5.700990171619736e-72,5.489768485761225e-68,71.24404970770925
MNX1,4.778430746013465,6.408140274904789,1.032192539363263e-61,6.626332038532361e-58,60.986239284313804
TFAP2A,5.03593504270206,9.403240923293406,1.488880762603387e-60,7.168588651744658e-57,59.827140081439836
SDC1,3.0810202877467505,11.840908246153212,1.9597950669271794e-59,7.54873863879011e-56,58.70778933984551
RNFT2,2.5748554540853696,8.031356857538244,2.6480957377790276e-59,8.49994596898105e-56,58.57706631770759
AUNIP,3.0059615155251294,7.061357425784198,3.5244557478513925e-59,9.69678474969571e-56,58.4529079379503
GRIN2D,4.521950858986509,8.454135600994068,2.3507012470271524e-57,5.659019414561991e-54,56.628802562288094
TMPRSS4,3.700589015940631,11.345765650217729,3.3482802068999565e-54,7.164947611631808e-51,53.47517820443676
ADM2,3.352041072632338,8.04754786333903,1.0144401723119814e-51,1.953710327855645e-48,50.99377356085433
TRPM2,2.456801788756329,9.181569944349086,1.3375491300945936e-51,2.3418053360447072e-48,50.87369025675563
B3GNT4,2.881435675000941,5.386954272489481,2.4492410835836785e-49,3.930827835728172e-46,48.61096846431713
PRSS8,2.6567383451720024,11.889835010423017,2.334211494111623e-47,3.458044551161211e-44,46.63185979672065
ZNF695,3.5186989670033415,5.452614537296486,3.113849991799627e-47,4.283545499433501e-44,46.506702313188214
TMPRSS13,3.420863730236684,9.149986018352974,1.442137359928733e-46,1.8516082276578314e-43,45.840993372197715
DBNDD1,2.281347366682985,10.156651599416188,4.663034952628011e-45,5.6128368845414286e-42,44.3313313291999
CDC20,3.6484727640374004,10.708530796333767,1.1750845063447082e-44,1.3312325004525137e-41,43.92993089992885
PRC1,2.493350250665405,4.341375928284472,1.1069708817605508e-43,1.1843973451014693e-40,42.95586380284037
JPT1,2.391307719262128,11.588744530392773,1.2197656930439178e-43,1.2363930253859373e-40,42.91372358571126
KIF1A,4.790262139612026,10.937104086911853,1.5668038271148406e-43,1.5087537453202358e-40,42.80498537630414
LAD1,2.5122890217068967,11.238688216030194,2.684721972531725e-43,2.3921042598754923e-40,42.57110068279394
PRR36,2.3176358228489837,9.940571293359847,2.7325558812638677e-43,2.3921042598754923e-40,42.563430947886445
MTFR2,3.1042345660759953,6.949043282107714,5.377615164472573e-43,4.50293436750336e-40,42.26941028019491
GNGT1,3.515066336255646,3.8817990864040444,1.3282582789741833e-42,1.0658719247818249e-39,41.876717468471796
